time_since_start,hw_avg_power,hw_avg_power_rolled,type
61.0,2310.92732216,2304.690356879,logging
62.0,2107.57928128,2113.1143889106,logging
63.0,2065.27813924,2065.1364783794,logging
64.0,2087.94384848,2090.0141945048,logging
65.0,2197.5091177,2197.7788046411997,logging
66.0,2181.7138071199997,2176.8422199986,logging
67.0,2026.4718157031405,2029.9288121510303,logging
68.0,2035.1340217,2033.8355761296,logging
69.0,2062.0060858800002,2064.5911235518,logging
70.0,2158.72092286,2157.2049044234,logging
71.0,2238.5407785,2235.495719939,logging
72.0,2070.00883852,2073.771277297,logging
73.0,2113.74955612,2114.1400822792,logging
74.0,1928.4279537507502,1927.610224216243,logging
75.0,2168.20028314,2165.6443563814,logging
76.0,2230.8063579,2231.6838448805997,logging
77.0,2139.71647718,2143.2803491966,logging
78.0,2041.8809878600002,2038.5986396368,logging
79.0,2134.52505446,2133.9963281536,logging
